Profissionais,Funcao,Servico,Duracao_Minutos,Preco_Avista,Preco_2x,Preco_3x,Preco_4x,Preco_5x,Requer_Avaliacao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Secar cabelo mega hair,30,119,140,142,145,147,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tonalização de cabelo coloração ou tonalizante,60,199,234,238,242,247,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tonalização de loiros coloração ou tonalizante,60,299,352,358,364,370,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tonalização de mechas coloração ou tonalizante,60,299,352,358,364,370,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Joico + escova,60,249,293,298,303,309,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Kerastase + escova,60,299,352,358,364,370,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Keune + escova,60,299,352,358,364,370,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara LOreal + escova,60,249,293,298,303,309,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Wella + escova,60,249,293,298,303,309,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara genérica + escova,60,199,234,238,242,247,Nao
Maikel,Cabeleireiro(a),Curso e treinamento colorimetria,600,1499,1763,1794,1826,1857,Nao
Maikel,Cabeleireiro(a),Curso e treinamento corte de cabelo,600,999,1175,1196,1217,1238,Nao
Maikel,Cabeleireiro(a),Curso e treinamento de gestão de salão de beleza,1200,4999,5879,5984,6089,6194,Nao
Maikel,Cabeleireiro(a),Curso e treinamento de mechas,1200,999,1175,1196,1217,1238,Nao
Maikel,Cabeleireiro(a),Curso e treinamento de mechas morena iluminada,1200,999,1175,1196,1217,1238,Nao
Maikel,Cabeleireiro(a),Curso e treinamento escova,600,999,1175,1196,1217,1238,Nao
Maikel,Cabeleireiro(a),Curso e treinamento neutralização,600,999,1175,1196,1217,1238,Nao
Maikel,Cabeleireiro(a),Curso e treinamento penteados,600,999,1175,1196,1217,1238,Nao
Maikel,Cabeleireiro(a),Curso e treinamento tratamento capilar,240,999,1175,1196,1217,1238,Nao
Vanessa,Micropigmentadora,BB glow,60,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,BB lips,60,1499,1763,1794,1826,1857,Sim
Vanessa,Designer de Sobrancelhas,Brow lamination,90,259,305,310,315,321,Nao
Vanessa,Designer de Sobrancelhas,Brow lamination com aplicação de refectocil,90,289,340,346,352,358,Nao
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas,60,89,105,107,108,110,Nao
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas com aplicação de henna,60,139,163,166,169,172,Nao
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas com aplicação de refectocil,60,149,175,178,181,185,Nao
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas estratégico,60,99,116,119,121,123,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem corporativa,120,349,410,418,425,432,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem debutante,120,499,587,597,608,618,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem dia a dia,120,349,410,418,425,432,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem fotos e redes sociais,120,399,469,478,486,494,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem natural glow,120,349,410,418,425,432,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem noturna,120,399,469,478,486,494,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem para eventos,120,399,469,478,486,494,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem para vídeos profissionais,120,499,587,597,608,618,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica cinematográfica,120,499,587,597,608,618,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica make express,120,349,410,418,425,432,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica noiva,120,599,704,717,730,742,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica madrinha,120,399,469,478,486,494,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica smokey eyes,120,399,469,478,486,494,Nao
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica social,120,399,469,478,486,494,Nao
Vanessa,Micropigmentadora,Micropigmentação de lábios efeito batom,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação de lábios henna lips magic,180,299,352,358,364,370,Sim
Vanessa,Micropigmentadora,Micropigmentação de lábios hidralips color,180,599,704,717,730,742,Sim
Vanessa,Micropigmentadora,Micropigmentação de sobrancelhas técnica híbrida,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação de sobrancelhas técnica micro henna,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação de sobrancelhas técnica microblading,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação de sobrancelhas técnica nanoblading,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação de sobrancelhas técnica ombré shadow,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação de sobrancelhas técnica shadow,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Micropigmentação técnica de delineado de olhos,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Neutralização de lábios,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Neutralização de micropigmentação de sobrancelhas,180,999,1175,1196,1217,1238,Sim
Vanessa,Micropigmentadora,Neutralização labial,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Reconstrução de sobrancelhas com microagulhamento,60,499,587,597,608,618,Nao
Vanessa,Micropigmentadora,Revitalização de lábios,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Revitalização labial,180,1499,1763,1794,1826,1857,Sim
Vanessa,Micropigmentadora,Curso e treinamento de Lash Lifthing,240,699,822,837,851,866,Nao
Vanessa,Micropigmentadora,Curso e treinamento de Maquiagem,240,999,1175,1196,1217,1238,Nao
Vanessa,Micropigmentadora,Curso e treinamento de Alongamento de Cílios,240,999,1175,1196,1217,1238,Nao
Vanessa,Micropigmentadora,Curso e treinamento de Brow Lamination,240,699,822,837,851,866,Nao
Vanessa,Micropigmentadora,Curso e treinamento de Design de Sobrancelhas,240,999,1175,1196,1217,1238,Nao
Vanessa,Micropigmentadora,Curso e treinamento de Micropigmentação,1200,999,1175,1196,1217,1238,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Curso e treinamento de Nail Designer,240,999,1175,1196,1217,1238,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Alongamento reconstrução de unha (por unidade),30,49,58,59,60,61,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Alongamento remoção de unhas,30,99,116,119,121,123,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Aplicação de alongamento de unhas com esmaltação em gel,150,299,352,358,364,370,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Aplicação de alongamento de unhas com esmaltação tradicional,150,279,328,334,340,346,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Arte de unha com pedras ou desenhos (por unidade),30,19,22,23,23,24,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Blindagem aplicação com esmaltação tradicional,60,169,199,202,206,209,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Blindagem com esmaltação em gel,60,199,234,238,242,247,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Blindagem manutenção com esmaltação em gel,60,199,234,238,242,247,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Blindagem manutenção com esmaltação tradicional,60,169,199,202,206,209,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Cortar unha da mão,30,29,34,35,35,36,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Cortar unha do pé,30,29,34,35,35,36,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Esmaltação de unha tradicional,30,39,46,47,48,48,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Lixar unha da mão,30,29,34,35,35,36,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Lixar unha do pé,30,29,34,35,35,36,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Manicure esmaltação em gel,60,119,140,142,145,147,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Manicure esmaltação tradicional,60,59,69,71,72,73,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Manicure esmaltação tradicional e francesinha,40,69,81,83,84,85,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Manutenção de alongamento de unhas com esmaltação em gel,120,279,328,334,340,346,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Manutenção de alongamento de unhas com esmaltação tradicional,120,249,293,298,303,309,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Pedicure esmaltação em gel,60,149,175,178,181,185,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Pedicure esmaltação tradicional,60,69,81,83,84,85,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Pedicure esmaltação tradicional com francesinha,60,79,93,95,96,98,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Pedicure remoção de esmaltação em gel,60,49,58,59,60,61,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Reconstrução de unha do pé (por unidade),30,49,58,59,60,61,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Remoção da esmaltação,40,39,46,47,48,48,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Remoção da esmaltação em gel,40,39,46,47,48,48,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Alteração do formato da unha,30,60,71,72,73,74,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Curso e treinamento de Manicure,600,999,1175,1196,1217,1238,Nao
"Sandy, Carol, Jianine",Manicure Nail Designer,Curso e treinamento de Nail Designer,600,999,1175,1196,1217,1238,Nao
Gabi,Lash Designer,Cílios técnica volume brasileiro aplicação,120,249,293,298,303,309,Nao
Gabi,Lash Designer,Cílios técnica volume brasileiro express aplicação,120,249,293,298,303,309,Nao
Gabi,Lash Designer,Cílios técnica volume brasileiro express manutenção,120,199,234,238,242,247,Nao
Gabi,Lash Designer,Cílios técnica volume brasileiro express remoção,60,99,116,119,121,123,Nao
Gabi,Lash Designer,Cílios técnica volume brasileiro manutenção,120,199,234,238,242,247,Nao
Gabi,Lash Designer,Cílios técnica volume brasileiro remoção,60,99,116,119,121,123,Nao
Gabi,Lash Designer,Cílios técnica volume capping aplicação,180,399,469,478,486,494,Nao
Gabi,Lash Designer,Cílios técnica volume capping manutenção,180,399,469,478,486,494,Nao
Gabi,Lash Designer,Cílios técnica volume capping remoção,60,199,234,238,242,247,Nao
Gabi,Lash Designer,Cílios técnica volume egípcio aplicação,120,249,293,298,303,309,Nao
Gabi,Lash Designer,Cílios técnica volume egípcio express aplicação,120,249,293,298,303,309,Nao
Gabi,Lash Designer,Cílios técnica volume egípcio express manutenção,120,199,234,238,242,247,Nao
Gabi,Lash Designer,Cílios técnica volume egípcio express remoção,60,99,116,119,121,123,Nao
Gabi,Lash Designer,Cílios técnica volume egípcio manutenção,120,199,234,238,242,247,Nao
Gabi,Lash Designer,Cílios técnica volume egípcio remoção,60,99,116,119,121,123,Nao
Gabi,Lash Designer,Cílios técnica volume fox eyes aplicação,120,349,410,418,425,432,Nao
Gabi,Lash Designer,Cílios técnica volume fox eyes manutenção,120,299,352,358,364,370,Nao
Gabi,Lash Designer,Cílios técnica volume fox eyes remoção,60,99,116,119,121,123,Nao
Gabi,Lash Designer,Cílios técnica volume indiano aplicação,120,279,328,334,340,346,Nao
Gabi,Lash Designer,Cílios técnica volume indiano manutenção,120,219,258,262,267,271,Nao
Gabi,Lash Designer,Cílios técnica volume indiano remoção,60,109,128,130,133,135,Nao
Gabi,Lash Designer,Cílios técnica volume mega volume aplicação,240,699,822,837,851,866,Nao
Gabi,Lash Designer,Cílios técnica volume mega volume manutenção,240,699,822,837,851,866,Nao
Gabi,Lash Designer,Cílios técnica volume mega volume remoção,60,299,352,358,364,370,Nao
Gabi,Lash Designer,Cílios técnica volume russo aplicação,240,599,704,717,730,742,Nao
Gabi,Lash Designer,Cílios técnica volume russo manutenção,240,599,704,717,730,742,Nao
Gabi,Lash Designer,Cílios técnica volume russo remoção,60,299,352,358,364,370,Nao
Gabi,Lash Designer,Curso Alongamento e Extensão de Cílios,600,999,1175,1196,1217,1238,Nao
Bruna,Penteadista,Penteado convidada,90,349,410,418,425,432,Nao
Bruna,Penteadista,Penteado coque,90,299,352,358,364,370,Nao
Bruna,Penteadista,Penteado dama,90,349,410,418,425,432,Nao
Bruna,Penteadista,Penteado infantil,90,299,352,358,364,370,Nao
Bruna,Penteadista,Penteado madrinha,90,599,704,717,730,742,Nao
Bruna,Penteadista,Penteado noiva,90,699,822,837,851,866,Nao
Bruna,Penteadista,Penteado rabo de cavalo,90,299,352,358,364,370,Nao
Bruna,Penteadista,Penteado semi-preso,90,299,352,358,364,370,Nao
Bruna,Penteadista,Penteado solto,90,299,352,358,364,370,Nao
Bruna,Penteadista,Penteado trança,90,299,352,358,364,370,Nao
Bruna,Penteadista,Curso Penteado,600,999,1175,1196,1217,1238,Nao
